Taxon	ZeeviD_2015.metaphlan_bugs_list.stool:PNP_Main_265	VatanenT_2016.metaphlan_bugs_list.stool:G80343	NielsenHB_2014.metaphlan_bugs_list.stool:MH0039	LiJ_2014.metaphlan_bugs_list.stool:O2.UC37-1	ChengpingW_2017.metaphlan_bugs_list.stool:AS96raw	LouisS_2016.metaphlan_bugs_list.stool:AS64_3	HMP_2012.metaphlan_bugs_list.stool:SRS014613	NielsenHB_2014.metaphlan_bugs_list.stool:O2_UC31_0	NielsenHB_2014.metaphlan_bugs_list.stool:MH0146	ThomasAM_2018b.metaphlan_bugs_list.stool:CRC_MR_SBJ55C_17	VogtmannE_2016.metaphlan_bugs_list.stool:MMRS59699117ST-27-0-0	BackhedF_2015.metaphlan_bugs_list.stool:SID622_M	LiSS_2016.metaphlan_bugs_list.stool:FAT_015-22-0-0	LiJ_2017.metaphlan_bugs_list.stool:H3M516909	QinJ_2012.metaphlan_bugs_list.stool:T2D-005	VincentC_2016.metaphlan_bugs_list.stool:MM094.2	LoombaR_2017.metaphlan_bugs_list.stool:SID1019_aas	ZeeviD_2015.metaphlan_bugs_list.stool:PNP_Main_346	BackhedF_2015.metaphlan_bugs_list.stool:SID18_12M	NielsenHB_2014.metaphlan_bugs_list.stool:V1_UC50_1	BackhedF_2015.metaphlan_bugs_list.stool:SID7_4M	JieZ_2017.metaphlan_bugs_list.stool:SAMEA104142139	BackhedF_2015.metaphlan_bugs_list.stool:SID70_12M	KarlssonFH_2013.metaphlan_bugs_list.stool:S353	NielsenHB_2014.metaphlan_bugs_list.stool:O2_UC2_0	VatanenT_2016.metaphlan_bugs_list.stool:G78843	LiSS_2016.metaphlan_bugs_list.stool:FAT_012-22-42-0	VatanenT_2016.metaphlan_bugs_list.stool:G69160	ZeeviD_2015.metaphlan_bugs_list.stool:PNP_Main_596	FengQ_2015.metaphlan_bugs_list.stool:SID530315	XieH_2016.metaphlan_bugs_list.stool:YSZC12003_35550	NielsenHB_2014.metaphlan_bugs_list.stool:O2_UC29_2	MatsonV_2018.metaphlan_bugs_list.stool:SAM_14	ZeeviD_2015.metaphlan_bugs_list.stool:PNP_Main_704	VogtmannE_2016.metaphlan_bugs_list.stool:MMRS40913371ST-27-0-0	LiJ_2017.metaphlan_bugs_list.stool:H2M514108	JieZ_2017.metaphlan_bugs_list.stool:SAMEA104142184	BackhedF_2015.metaphlan_bugs_list.stool:SID276_4M	LeChatelierE_2013.metaphlan_bugs_list.stool:MH0114	ChengpingW_2017.metaphlan_bugs_list.stool:AS109raw	CosteaPI_2017.metaphlan_bugs_list.stool:SID713A029-11-90-0	PasolliE_2018.metaphlan_bugs_list.stool:V12_01_2FE	CosteaPI_2017.metaphlan_bugs_list.stool:SID713A004-11-0-0	RampelliS_2015.metaphlan_bugs_list.stool:H24	BritoIL_2016.metaphlan_bugs_list.stool:W1.21.ST	PasolliE_2018.metaphlan_bugs_list.stool:A48_01_1FE	PehrssonE_2016.metaphlan_bugs_list.stool:SID08I_170	PasolliE_2018.metaphlan_bugs_list.stool:V31_01_2FE	TettAJ_2019_b.metaphlan_bugs_list.stool:C16-20244-GH	BritoIL_2016.metaphlan_bugs_list.stool:WL.32.ST	TettAJ_2019_a.metaphlan_bugs_list.stool:C16-20647-TZ	BritoIL_2016.metaphlan_bugs_list.stool:W1.22.ST	PasolliE_2018.metaphlan_bugs_list.stool:A91_01_1FE	CosteaPI_2017.metaphlan_bugs_list.stool:SID713A058-11-90-0	PasolliE_2018.metaphlan_bugs_list.stool:A91_02_1FE	Obregon-TitoAJ_2015.metaphlan_bugs_list.stool:SM11	BritoIL_2016.metaphlan_bugs_list.stool:W1.38.ST	SmitsSA_2017.metaphlan_bugs_list.stool:TZ_39371	TettAJ_2019_a.metaphlan_bugs_list.stool:C16-20473-TZ	CosteaPI_2017.metaphlan_bugs_list.stool:SID713B037-11-0-0	BritoIL_2016.metaphlan_bugs_list.stool:W1.6.ST	BritoIL_2016.metaphlan_bugs_list.stool:W2.19.ST	TettAJ_2019_b.metaphlan_bugs_list.stool:C16-20275-GH	CosteaPI_2017.metaphlan_bugs_list.stool:SID713B046-11-0-0	Obregon-TitoAJ_2015.metaphlan_bugs_list.stool:SM25	SmitsSA_2017.metaphlan_bugs_list.stool:TZ_21618	RampelliS_2015.metaphlan_bugs_list.stool:H20	TettAJ_2019_a.metaphlan_bugs_list.stool:C16-20374-TZ	LiuW_2016.metaphlan_bugs_list.stool:SRR3992994	CosteaPI_2017.metaphlan_bugs_list.stool:SID713B030-11-0-0	BritoIL_2016.metaphlan_bugs_list.stool:M1.57.ST	BritoIL_2016.metaphlan_bugs_list.stool:M1.65.ST	PasolliE_2018.metaphlan_bugs_list.stool:A89_02_1FE	CosteaPI_2017.metaphlan_bugs_list.stool:SID713A076-11-0-0	PasolliE_2018.metaphlan_bugs_list.stool:A42_02_1FE	PehrssonE_2016.metaphlan_bugs_list.stool:SID240301	TettAJ_2019_c.metaphlan_bugs_list.stool:CM_D26_M0_18	TettAJ_2019_b.metaphlan_bugs_list.stool:C16-20049-GH	PehrssonE_2016.metaphlan_bugs_list.stool:SID09E_519	PehrssonE_2016.metaphlan_bugs_list.stool:SID08C_021	Lib4_3	Lib4_7	s_02	Lib3_6	Lib4_6	Lib4_1	Lib4_4	Lib4_8	Lib4_5	Lib4_2	Lib3_9	ERR1883623	ERR1883556	ERR1883448	ERR1883403	ERR1883529	ERR1883543	ERR1883460	ERR1883427	ERR1883665	ERR1883811	ERR1883583	ERR1883612	ERR1883540	ERR1883784	ERR1883598	ERR1883642	ERR1883482	ERR1883511	ERR1883479	ERR1883794	ERR1883647	ERR1883476	ERR1883551	ERR1883418	ERR1883689	ERR1883810	ERR1883473	ERR1883519	ERR1883661	ERR1883475	ERR1883710	ERR1883406	ERR1883584	ERR1883601	ERR1883726	ERR1883713	ERR1883408	ERR1883740	Lib4_10	Lib4_11	Lib4_12	CBA001	ECO004	DRL001	BRF001	TRO001	LEI010	MLP001	CMN001
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium_bolteae	0	10977	0	37384	0	430	0	3305	106253	59891	411997	25311	138283	372878	22977	57320	6155	5283	95382	38981	0	203329	90158	0	0	0	7817	0	0	0	0	821	479586	0	864416	0	13333	0	6235	2907	2374	0	5048	0	0	0	1499	0	0	0	0	0	0	3425	0	0	0	0	10770	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	73298	0	0	18271	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium_bolteae|t__Clostridium_bolteae_unclassified	0	10977	0	37384	0	430	0	3305	106253	59891	0	25311	0	372878	22977	57320	6155	5283	0	38981	0	104612	90158	0	0	0	7817	0	0	0	0	821	0	0	0	0	13333	0	6235	2907	2374	0	5048	0	0	0	1499	0	0	0	0	0	0	3425	0	0	0	0	10770	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	73298	0	0	18271	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium_bolteae|t__GCF_000154365	0	0	0	0	0	0	0	0	0	0	304004	0	138283	0	0	0	0	0	95382	0	0	0	0	0	0	0	0	0	0	0	0	0	479586	0	864416	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium_sp_L2_50	0	0	0	0	0	0	0	0	0	2343970	0	0	70755	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	305807	0	0	0	0	0	0	0	0	0	3036259	233711	0	0	0	0	473180	0	0	0	0	0	883882	7285383	0	0	0	0	0	0	0	3090527	0	108536	0	0	0	167916	0	0	438167	495075	454803	607328	427575	0	491220	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium_sp_L2_50|t__GCF_000154245	0	0	0	0	0	0	0	0	0	2343970	0	0	70755	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	305807	0	0	0	0	0	0	0	0	0	3036259	233711	0	0	0	0	473180	0	0	0	0	0	883882	7285383	0	0	0	0	0	0	0	3090527	0	108536	0	0	0	167916	0	0	438167	495075	454803	607328	427575	0	491220	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_noname	841	26926	6514	6672	3524	861	0	7417	57409	36656	84566	8129	48298	12952	0	2534	0	17478	3789	22109	0	24374	5909	0	0	0	4336	1824	0	0	0	5987	14076	736991	188786	0	1280	0	27289	30952	0	0	2648	0	0	0	772	0	9806	0	2731257	521	12112	814	0	0	0	0	490094	0	14750	0	0	598293	0	0	0	84277	0	0	0	0	0	1087	0	6281	24110	0	0	0	0	1693	1694334	8305	0	26572	0	9870	0	3367887	239363	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_noname|g__Clostridiales_noname	0	793	0	2545	0	566	0	0	23262	0	25104	292	0	12952	0	2534	0	0	3789	1873	0	6209	5909	0	0	0	763	0	0	0	0	0	7434	736991	77633	0	1280	0	0	1034	0	0	466	0	0	0	772	0	9806	0	2731257	521	12112	0	0	0	0	0	486323	0	0	0	0	598293	0	0	0	84277	0	0	0	0	0	0	0	6281	24110	0	0	0	0	733	1694334	0	0	26572	0	9870	0	3367887	239363	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_noname|g__Clostridiales_noname|s__Bacteroides_pectinophilus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	736991	0	0	0	0	0	0	0	0	466	0	0	0	772	0	9806	0	2731257	521	12112	0	0	0	0	0	445852	0	0	0	0	598293	0	0	0	84277	0	0	0	0	0	0	0	0	24110	0	0	0	0	733	1694334	0	0	26572	0	9870	0	3367887	239363	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_noname|g__Clostridiales_noname|s__Bacteroides_pectinophilus|t__GCF_000155855	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	736991	0	0	0	0	0	0	0	0	466	0	0	0	772	0	9806	0	2731257	521	12112	0	0	0	0	0	445852	0	0	0	0	598293	0	0	0	84277	0	0	0	0	0	0	0	0	24110	0	0	0	0	733	1694334	0	0	26572	0	9870	0	3367887	239363	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae	5110355	3784603	2192601	15734480	2301003	0	9455050	6803057	3393320	13680186	8635940	776697	4803978	2036	750018	1346437	1517926	2426108	164183	3330823	0	2929151	564529	7190539	19040985	0	10344686	1254609	2011283	2532754	7271702	855294	1038056	725439	25435961	6744	6578516	0	11112906	409755	10657189	30159634	10139837	4562816	18494781	1608951	414802	5494703	9912663	5846549	6026370	20523431	970979	4450013	8178383	2650117	27398816	327486	335753	4429601	54043704	18190669	2325236	11279287	11163631	467950	3934915	7471256	3664560	658471	14715161	32551887	25817890	12086535	469222	73678	9068388	1369812	4372	872477	46445728	6729131	83947358	423294	35643605	14091734	16565056	7118763	91102	16837578	106311698	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	794705	0	0	0	0	736054	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium	5110355	3784603	2192601	15734480	2301003	0	9455050	6803057	3393320	13680186	8635454	776697	4803978	2036	750018	1346437	1517926	2426108	164183	3330091	0	2929151	564529	7190539	19040985	0	10344686	1254609	2011283	2532754	7271702	855294	1038056	725439	25416234	6744	6578516	0	11112906	409755	10657189	30159634	10139837	4562816	18494781	1608951	414802	5494703	9912663	5846549	6026370	20523431	970979	4450013	8178383	2650117	27398816	327486	335753	4429601	54043704	18190669	2325236	11279287	11163631	467950	3934915	7471256	3664560	658471	14715161	32551887	25817890	12086535	469222	73678	9068388	1369812	4372	872477	46445728	6729131	83947358	423294	35643605	14091734	16565056	7118763	91102	16837578	106311698	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	794705	0	0	0	0	736054	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium_eligens	182176	230022	637305	8820856	620482	0	116155	224833	3152080	218218	523	2375	226510	0	280899	0	5336	371010	0	282755	0	2824502	0	638269	68574	0	66149	0	1541401	361	4806378	100429	885991	32822	0	0	5876266	0	1505	373950	5869653	1726028	1895	140802	1485274	499640	47308	2505345	962761	2034674	676559	14666673	32318	463173	1122733	1932003	1398367	726	0	914843	4386690	1430243	13134	866921	3313745	101882	0	522268	1274	21149	2489152	6040668	1007588	875546	13791	0	267293	441981	0	0	124906	5246152	33474006	15495	2841613	1116986	981639	1075820	0	3416827	4304928	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	244971	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium_eligens|t__GCF_000146185	182176	230022	637305	8820856	620482	0	116155	224833	3152080	218218	523	2375	226510	0	280899	0	5336	371010	0	282755	0	2824502	0	638269	68574	0	66149	0	1541401	361	4806378	100429	885991	32822	0	0	5876266	0	1505	373950	5869653	1726028	1895	140802	1485274	499640	47308	2505345	962761	2034674	676559	14666673	32318	463173	1122733	1932003	1398367	726	0	914843	4386690	1430243	13134	866921	3313745	101882	0	522268	1274	21149	2489152	6040668	1007588	875546	13791	0	267293	441981	0	0	124906	5246152	33474006	15495	2841613	1116986	981639	1075820	0	3416827	4304928	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	244971	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium_hallii	651738	0	97224	1692529	76523	0	5201	1286829	218905	2376899	955725	30271	1420629	0	8595	23873	191407	553066	0	644174	0	64901	407085	344033	2278308	0	255247	389375	177623	1500038	235858	466700	103711	6507	1775606	0	303848	0	231587	6321	338047	6129	94885	104081	73783	42603	249621	348394	18551	138435	37835	58578	454282	266845	42005	669087	231266	230317	17096	1521411	167106	185496	237201	65733	46089	207830	17840	28730	0	224	409857	157738	92159	161500	19507	7866	121938	33290	1329	3396	670015	99002	13863089	38182	787712	1353383	1181238	771950	25090	1100843	1393818	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34576	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium_hallii|t__GCF_000173975	651738	0	97224	1692529	76523	0	5201	1286829	218905	2376899	955725	30271	1420629	0	8595	23873	191407	553066	0	644174	0	64901	407085	344033	2278308	0	255247	389375	177623	1500038	235858	466700	103711	6507	1775606	0	303848	0	231587	6321	338047	6129	94885	104081	73783	42603	249621	348394	18551	138435	37835	58578	454282	266845	42005	669087	231266	230317	17096	1521411	167106	185496	237201	65733	46089	207830	17840	28730	0	224	409857	157738	92159	161500	19507	7866	121938	33290	1329	3396	670015	99002	13863089	38182	787712	1353383	1181238	771950	25090	1100843	1393818	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34576	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium_ramulus	14378	0	23814	271026	14485	0	2914	93255	4832	479335	254090	8086	124044	0	0	0	0	0	0	63422	0	37932	0	239006	63371	0	226839	0	8171	88794	234890	145721	0	17021	0	0	0	0	178083	5274	71601	0	232847	70216	26872	16945	24068	16446	240343	21248	2709	222946	309930	143497	57481	40668	99448	0	713	292574	228592	65613	4890	190686	103716	34576	19113	15464	12389	10902	22192	125088	163771	40139	0	0	18372	94253	0	0	103075	9231	9087393	23299	1347379	392381	91312	69234	11997	449449	2278470	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium_ramulus|t__GCF_000469345	14378	0	23814	271026	14485	0	2914	93255	4832	479335	254090	8086	124044	0	0	0	0	0	0	63422	0	37932	0	239006	63371	0	226839	0	8171	88794	234890	145721	0	17021	0	0	0	0	178083	5274	71601	0	232847	70216	26872	16945	24068	16446	240343	21248	2709	222946	309930	143497	57481	40668	99448	0	713	292574	228592	65613	4890	190686	103716	34576	19113	15464	12389	10902	22192	125088	163771	40139	0	0	18372	94253	0	0	103075	9231	9087393	23299	1347379	392381	91312	69234	11997	449449	2278470	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium_rectale	4061712	3213822	981636	3638819	92287	0	6415296	3901690	0	7923799	7072031	17303	2883644	0	356520	1322457	1311655	953646	0	2275169	0	1067	157438	5798363	16341436	0	6848048	444792	257703	942577	1355072	84051	0	102605	12578189	6744	0	0	10501847	15250	4195771	28425591	837110	4071839	16894844	1045123	77808	2169797	8691009	3650739	5152203	5550342	153376	2491561	6873042	8358	25643809	43129	175616	1166762	48888823	16080842	2037851	9570195	7700081	107679	763363	6901580	3441471	616144	11244789	26189716	24497101	10254108	435925	28578	8568612	739685	3042	869081	45517127	844472	26467519	276529	27090262	5427386	12074518	5161859	53988	8354804	1380658	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	449499	0	0	0	0	736054	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium_rectale|t__Eubacterium_rectale_unclassified	4061712	3213822	981636	3638819	92287	0	6415296	3901690	0	7923799	7072031	17303	2718453	0	356520	1322457	1311655	953646	0	2275169	0	1067	157438	5798363	16341436	0	6848048	444792	257703	942577	1355072	84051	0	102605	12578189	6744	0	0	10501847	15250	4195771	28425591	837110	4071839	16894844	1045123	77808	2169797	8691009	3650739	5152203	5550342	153376	2491561	6873042	8358	25643809	43129	175616	1166762	48888823	16080842	2037851	9570195	7700081	107679	763363	6901580	3441471	616144	11244789	26189716	24497101	10254108	435925	28578	8568612	739685	3042	869081	45517127	844472	26467519	276529	27090262	5427386	12074518	5161859	53988	8354804	1380658	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	449499	0	0	0	0	736054	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium_siraeum	9863	328481	258516	0	1475536	0	2678656	402018	17503	2440061	0	712080	17022	0	0	107	0	489445	44613	0	0	0	0	16379	0	0	2937810	420442	0	979	458568	322	18640	552613	11052827	0	0	0	0	0	0	0	8934759	175877	14008	0	13952	325631	0	1463	140802	24881	3161	1084329	0	0	25927	53314	142328	492386	372506	423322	0	579862	0	15983	3134601	0	209421	10052	547326	19092	53637	653219	0	0	57201	4034	0	0	28884	519121	1000637	69787	3576637	5737292	2236347	25216	0	3176693	96953859	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	65657	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium_siraeum|t__Eubacterium_siraeum_unclassified	9863	328481	258516	0	1475536	0	1063779	402018	17503	2440061	0	712080	17022	0	0	107	0	489445	44613	0	0	0	0	16379	0	0	2937810	420442	0	979	458568	322	18640	552613	11052827	0	0	0	0	0	0	0	8934759	175877	14008	0	13952	325631	0	1463	140802	24881	3161	1084329	0	0	25927	53314	142328	492386	372506	423322	0	579862	0	15983	3134601	0	209421	10052	547326	19092	53637	653219	0	0	57201	4034	0	0	28884	519121	1000637	69787	3576637	5737292	2236347	25216	0	3176693	96953859	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	65657	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium_ventriosum	190491	0	194106	1209047	21692	0	236807	894431	0	240698	262661	6585	132129	0	104004	0	9528	58814	0	0	0	742	0	154486	289296	0	10586	0	26385	0	180928	56896	5578	13871	0	0	398402	0	199883	8956	182112	1887	23236	0	0	4639	0	123231	0	0	16261	0	17908	601	83119	0	0	0	0	40067	0	5153	32159	5890	0	0	0	3218	0	0	1857	19595	3635	96753	0	0	34978	54484	0	0	1719	11150	51493	0	0	64304	0	14681	0	338929	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium_ventriosum|t__GCF_000153885	190491	0	194106	1209047	21692	0	236807	894431	0	240698	262661	6585	132129	0	104004	0	9528	58814	0	0	0	742	0	154486	289296	0	10586	0	26385	0	180928	56896	5578	13871	0	0	398402	0	199883	8956	182112	1887	23236	0	0	4639	0	123231	0	0	16261	0	17908	601	83119	0	0	0	0	40067	0	5153	32159	5890	0	0	0	3218	0	0	1857	19595	3635	96753	0	0	34978	54484	0	0	1719	11150	51493	0	0	64304	0	14681	0	338929	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae	1888905	661661	5121551	9279877	3052553	619180	2639402	14740348	2739536	6398761	5769840	995435	8350780	1150654	1933507	107628	1611973	4355804	4508359	3178179	0	5578403	1767522	5246403	13417979	52611	6895749	723201	3415668	3868114	6821774	24228412	2717715	796917	5695728	124156	10038848	351307	2794590	408032	8187996	6599592	21471099	2236718	6810617	630203	1352795	2724164	3195935	20566294	3972553	4236070	9738154	7054383	2355059	39736524	7050589	540197	881301	16149936	13809550	38225760	1360672	15653339	13857651	1015803	721762	2333383	743117	518143	8689039	9932095	6293469	5242125	964851	2675633	2274989	2886977	24190	94201	19956038	7915497	45719174	355847	39798492	9705546	29861255	52862550	778064	33120913	15544461	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	286570	0	0	0	0	745622	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Anaerostipes	69063	10749	56875	51561	4353	12299	0	146329	5944	181512	31743	357	45245	0	792	0	2542	14809	78615	16071	0	472	81275	19756	391553	0	7014	82611	109229	16049	11776	9619	0	111673	24199	0	27275	0	29157	0	24210	0	25868	3295	0	0	134	0	5732	72786	0	0	15165	2985	22188	10688	0	4530	0	865722	5321	39578	17819	10591	25173	36114	0	0	0	0	3188	18557	0	0	0	526429	3720	0	0	0	0	931	2574	0	0	0	0	0	0	2862	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Anaerostipes|s__Anaerostipes_hadrus	69063	10749	56875	51561	4353	12299	0	146329	634	181512	0	357	45245	0	0	0	2542	14809	78342	16071	0	472	81275	19756	391553	0	7014	82611	109229	16049	11776	9619	0	111673	0	0	27275	0	29157	0	24210	0	25868	3295	0	0	134	0	5732	72786	0	0	15165	2985	22188	10688	0	4530	0	865722	5321	39578	17819	10591	25173	36114	0	0	0	0	3188	18557	0	0	0	0	3720	0	0	0	0	931	2574	0	0	0	0	0	0	2862	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
